,order,Date,Price,Open,High,Low,Change %,volatility
108,674,"Jun 01, 2017",1.1213,1.1242,1.1258,1.1203,-0.27%,0.38397201800705094
109,673,"Jun 02, 2017",1.1282,1.1213,1.1287,1.1205,0.62%,0.46939244597361374
110,672,"Jun 05, 2017",1.1255,1.128,1.1285,1.1236,-0.24%,0.3344731934657714
111,671,"Jun 06, 2017",1.1278,1.1254,1.1285,1.124,0.20%,0.5227450682196656
112,670,"Jun 07, 2017",1.1257,1.1277,1.1284,1.1205,-0.19%,0.5226644287168287
113,669,"Jun 08, 2017",1.1214,1.1257,1.127,1.1195,-0.38%,0.24955136161706326
114,668,"Jun 09, 2017",1.1196,1.1217,1.124,1.1168,-0.16%,0.25802920631372783
115,667,"Jun 12, 2017",1.1203,1.1196,1.1235,1.1193,0.06%,0.3607262540645867
116,666,"Jun 13, 2017",1.1216,1.1203,1.1225,1.1184,0.12%,0.4627653092853373
117,665,"Jun 14, 2017",1.1218,1.121,1.1296,1.1191,0.02%,0.5246005300520596
118,664,"Jun 15, 2017",1.1145,1.1219,1.1231,1.1132,-0.65%,0.26075828730272166
119,663,"Jun 16, 2017",1.1198,1.1142,1.1201,1.1138,0.48%,0.3318439561188736
120,662,"Jun 19, 2017",1.1148,1.1199,1.1214,1.1141,-0.45%,0.6810196515171627
121,661,"Jun 20, 2017",1.1135,1.1147,1.1165,1.1118,-0.12%,1.1143090820135768
122,660,"Jun 21, 2017",1.1168,1.1133,1.1171,1.1128,0.30%,1.3062328773578404
123,659,"Jun 22, 2017",1.1153,1.1167,1.1179,1.114,-0.13%,1.6781612153953447
124,658,"Jun 23, 2017",1.1194,1.1152,1.1211,1.1145,0.37%,1.5053170698438731
125,657,"Jun 26, 2017",1.1182,1.1202,1.1222,1.1173,-0.11%,1.6879436673382922
126,656,"Jun 27, 2017",1.1339,1.1183,1.1351,1.1178,1.40%,0.4755203439141039
127,655,"Jun 28, 2017",1.1378,1.1339,1.1392,1.1292,0.34%,0.33562583324417944
128,654,"Jun 29, 2017",1.1441,1.1376,1.1446,1.1373,0.55%,0.5227412980323111
129,653,"Jun 30, 2017",1.1426,1.1442,1.1448,1.1393,-0.13%,0.43185954517452385
130,652,"Jul 03, 2017",1.1364,1.1422,1.1431,1.1357,-0.54%,0.4366672245168089
131,651,"Jul 04, 2017",1.1345,1.1366,1.138,1.1339,-0.17%,0.5929973800459775
132,650,"Jul 05, 2017",1.1353,1.1345,1.1369,1.1312,0.07%,0.5571419814116257
133,649,"Jul 06, 2017",1.1423,1.1351,1.1425,1.1329,0.62%,0.25116402268234705
134,648,"Jul 07, 2017",1.1401,1.1423,1.1440000000000001,1.1379,-0.19%,0.40858923599166025
135,647,"Jul 10, 2017",1.14,1.1391,1.1418,1.1381,-0.01%,0.6602797204503668
136,646,"Jul 11, 2017",1.1467,1.14,1.1482,1.1383,0.59%,0.44150598343391606
137,645,"Jul 12, 2017",1.1412,1.1467,1.1491,1.1392,-0.48%,0.9776435752063882
138,644,"Jul 13, 2017",1.1399,1.1413,1.1459,1.1373,-0.11%,1.3785186206281395
139,643,"Jul 14, 2017",1.1469,1.14,1.1473,1.1392,0.61%,1.0602907502657404
140,642,"Jul 17, 2017",1.1479,1.1462,1.1487,1.1434,0.09%,1.1434731717556845
141,641,"Jul 18, 2017",1.1555,1.148,1.1585,1.1473,0.66%,0.8528479508361104
142,640,"Jul 19, 2017",1.1516,1.1554,1.1559,1.1509,-0.34%,1.2396147466021352
143,639,"Jul 20, 2017",1.1631,1.1513,1.1657,1.1479,1.00%,0.5529338901492035
144,638,"Jul 21, 2017",1.1663,1.1634,1.1684,1.162,0.28%,0.6932477322003002
145,637,"Jul 24, 2017",1.1642,1.1662,1.1688,1.1628,-0.18%,0.9602849253727216
146,636,"Jul 25, 2017",1.1652,1.1640000000000001,1.1712,1.163,0.09%,1.1122169980611474
147,635,"Jul 26, 2017",1.1734,1.1648,1.1741,1.1613,0.70%,0.7432381576541767
148,634,"Jul 27, 2017",1.1677,1.1734,1.1777,1.1649,-0.49%,1.152556437298059
