,order,Date,Price,Open,High,Low,Vol.,Change %,volatility
128,665,"Jun 26, 2017","1,295.40","1,295.40","1,295.40","1,295.40",0.19K,-0.77%,2.133277972711713
129,664,"Jun 27, 2017","1,296.10","1,296.10","1,296.10","1,296.10",0.11K,0.05%,2.2740895323550308
130,663,"Jun 28, 2017","1,298.50","1,298.50","1,298.50","1,298.50",0.01K,0.19%,2.4849556697447355
131,662,"Jun 29, 2017","1,295.40","1,295.40","1,295.40","1,295.40",0.54K,-0.24%,2.5418020421260197
132,661,"Jun 30, 2017","1,291.70","1,291.70","1,291.70","1,291.70",0.04K,-0.29%,2.4715929653552253
133,660,"Jul 03, 2017","1,268.60","1,287.20","1,287.60","1,271.00",0.02K,-1.79%,1.2760116776208252
134,659,"Jul 04, 2017","1,227.55","1,224.30","1,228.03","1,221.49",-,-3.24%,3.0237266611249103
135,658,"Jul 05, 2017","1,271.60","1,276.50","1,276.50","1,271.20",0.02K,3.59%,0.49504634799968317
136,657,"Jul 06, 2017","1,274.40","1,274.40","1,274.40","1,274.40",0.01K,0.22%,0.6644237711645621
137,656,"Jul 07, 2017","1,260.10","1,270.30","1,270.30","1,268.90",0.00K,-1.12%,0.9262809917820325
138,655,"Jul 10, 2017","1,263.70","1,263.70","1,263.70","1,263.70",0.03K,0.29%,1.0918470056862575
139,654,"Jul 11, 2017","1,265.40","1,265.40","1,265.40","1,265.40",0.01K,0.13%,1.2640800582186391
140,653,"Jul 12, 2017","1,268.90","1,268.90","1,268.90","1,268.90",0.01K,0.28%,1.3123232562392027
141,652,"Jul 13, 2017","1,266.20","1,268.40","1,268.40","1,268.40",0.00K,-0.21%,1.8565973494681538
142,651,"Jul 14, 2017","1,276.50","1,264.00","1,280.40","1,264.00",0.01K,0.81%,1.4071556254679503
143,650,"Jul 17, 2017","1,283.10","1,283.10","1,283.10","1,283.10",0.01K,0.52%,1.1055179977974956
144,649,"Jul 18, 2017","1,291.20","1,291.20","1,291.20","1,291.20",0.03K,0.63%,0.6290148733627319
145,648,"Jul 19, 2017","1,291.40","1,291.40","1,291.40","1,291.40",0.00K,0.02%,0.8263842176590004
146,647,"Jul 20, 2017","1,294.80","1,294.80","1,294.80","1,294.80",0.01K,0.26%,0.9359331859503296
147,646,"Jul 21, 2017","1,303.60","1,303.80","1,303.80","1,303.80",0.00K,0.68%,0.6472851521856106
148,645,"Jul 24, 2017","1,303.10","1,301.50","1,301.50","1,301.00",0.00K,-0.04%,0.8815380403988887
149,644,"Jul 25, 2017","1,300.90","1,300.90","1,300.90","1,300.90",0.02K,-0.17%,1.1728349894332273
150,643,"Jul 26, 2017","1,298.90","1,298.90","1,298.90","1,298.90",0.00K,-0.15%,1.4168103837143788
151,642,"Jul 27, 2017","1,310.20","1,313.70","1,313.70","1,313.70",0.05K,0.87%,0.6482105128325407
152,641,"Jul 28, 2017","1,319.10","1,319.10","1,319.10","1,319.10",64.18K,0.68%,0.45460281557318716
153,640,"Jul 31, 2017","1,317.20","1,317.20","1,317.20","1,317.20",7.78K,-0.14%,0.5064809740630746
154,639,"Aug 01, 2017","1,323.00","1,318.60","1,322.00","1,318.60",0.00K,0.44%,0.7524380035063798
155,638,"Aug 02, 2017","1,322.20","1,318.60","1,318.60","1,318.60",0.00K,-0.06%,0.7929467604517487
156,637,"Aug 03, 2017","1,318.30","1,318.30","1,318.30","1,318.30",0.88K,-0.29%,0.906303811374384
157,636,"Aug 04, 2017","1,308.40","1,308.40","1,308.40","1,308.40",0.52K,-0.75%,1.4432582360313393
158,635,"Aug 07, 2017","1,308.70","1,306.00","1,306.00","1,306.00",0.00K,0.02%,1.4948542671044642
159,634,"Aug 08, 2017","1,307.10","1,317.40","1,317.40","1,305.20",0.00K,-0.12%,1.7016870651319393
160,633,"Aug 09, 2017","1,323.70","1,323.70","1,323.70","1,323.70",0.57K,1.27%,0.7186842848811034
161,632,"Aug 10, 2017","1,334.50","1,335.00","1,335.00","1,332.40",0.02K,0.82%,0.37453297205820224
162,631,"Aug 11, 2017","1,338.10","1,338.10","1,338.10","1,338.10",0.14K,0.27%,0.5149210532205495
163,630,"Aug 14, 2017","1,334.80","1,334.80","1,334.80","1,334.80",0.34K,-0.25%,0.40974413932354636
164,629,"Aug 15, 2017","1,324.20","1,323.40","1,323.40","1,321.50",0.01K,-0.79%,0.8680923224496008
165,628,"Aug 16, 2017","1,327.50","1,318.50","1,318.50","1,318.50",0.00K,0.25%,0.6973697750471191
166,627,"Aug 17, 2017","1,336.80","1,336.20","1,336.20","1,336.20",0.00K,0.70%,0.20229125460273764
167,626,"Aug 18, 2017","1,335.70","1,335.70","1,335.70","1,335.70",0.00K,-0.08%,0.7226961751121306
168,625,"Aug 21, 2017","1,341.00","1,341.00","1,341.00","1,341.00",0.02K,0.40%,0.8388752751387992
169,624,"Aug 22, 2017","1,335.50","1,335.50","1,335.50","1,335.50",0.10K,-0.41%,1.2301420130162597
170,623,"Aug 23, 2017","1,338.80","1,338.80","1,338.80","1,338.80",0.25K,0.25%,1.2990027338365735
171,622,"Aug 24, 2017","1,336.00","1,336.00","1,336.00","1,336.00",0.55K,-0.21%,1.819018481888386
172,621,"Aug 25, 2017","1,341.90","1,341.90","1,341.90","1,341.90",0.28K,0.44%,1.4412546749364996
173,620,"Aug 28, 2017","1,359.70","1,359.70","1,359.70","1,359.70",0.15K,1.33%,0.9077938862848083
174,619,"Aug 29, 2017","1,362.80","1,368.70","1,368.70","1,368.30",0.00K,0.23%,1.205047870439722
175,618,"Aug 30, 2017","1,358.00","1,358.00","1,358.00","1,358.00",0.37K,-0.35%,1.4031701821716047
176,617,"Aug 31, 2017","1,365.60","1,371.00","1,371.00","1,371.00",0.00K,0.56%,1.5444946681805085
177,616,"Sep 01, 2017","1,374.20","1,374.20","1,374.20","1,374.20",0.01K,0.63%,1.6498550313959162
178,615,"Sep 03, 2017","1,341.22","1,340.54","1,342.07","1,338.96",-,-2.40%,3.0244335774191393
179,614,"Sep 04, 2017","1,338.08","1,341.21","1,344.59","1,337.01",-,-0.23%,3.426831691391103
180,613,"Sep 05, 2017","1,388.30","1,387.50","1,387.50","1,387.50",0.00K,3.75%,0.6020108555798247
181,612,"Sep 06, 2017","1,383.00","1,383.00","1,383.00","1,383.00",0.02K,-0.38%,0.5959734226738872
182,611,"Sep 07, 2017","1,395.10","1,397.80","1,397.80","1,397.80",0.00K,0.87%,1.145872364750082
183,610,"Sep 08, 2017","1,396.40","1,396.40","1,396.40","1,396.40",0.00K,0.09%,1.6146813497290793
184,609,"Sep 11, 2017","1,381.20","1,381.20","1,381.20","1,381.20",0.01K,-1.09%,0.9697809964318598
185,608,"Sep 12, 2017","1,378.90","1,378.90","1,378.90","1,378.90",0.50K,-0.17%,0.9440865547408556
186,607,"Sep 13, 2017","1,373.80","1,373.80","1,373.80","1,373.80",0.08K,-0.37%,1.1005003210941906
187,606,"Sep 14, 2017","1,376.30","1,376.30","1,376.30","1,376.30",0.24K,0.18%,1.4971294383651632
188,605,"Sep 15, 2017","1,372.20","1,372.20","1,372.20","1,372.20",0.15K,-0.30%,1.3126120746429872
189,604,"Sep 18, 2017","1,357.40","1,357.40","1,357.40","1,357.40",0.00K,-1.08%,0.6120714240666836
190,603,"Sep 19, 2017","1,358.30","1,358.30","1,358.30","1,358.30",0.04K,0.07%,0.887963846109942
191,602,"Sep 20, 2017","1,364.00","1,364.00","1,364.00","1,364.00",0.01K,0.42%,1.4001095473648915
192,601,"Sep 21, 2017","1,342.40","1,342.00","1,342.00","1,342.00",0.00K,-1.58%,0.6263780618052944
193,600,"Sep 22, 2017","1,345.10","1,345.10","1,345.10","1,345.10",0.00K,0.20%,0.8534159643768076
194,599,"Sep 25, 2017","1,359.20","1,359.20","1,359.20","1,359.20",0.01K,1.05%,1.8149482974162332
195,598,"Sep 26, 2017","1,349.70","1,349.70","1,349.70","1,349.70",0.04K,-0.70%,1.4038572120790176
196,597,"Sep 27, 2017","1,336.30","1,336.50","1,340.10","1,333.70",0.01K,-0.99%,0.7003574505322177
197,596,"Sep 28, 2017","1,336.90","1,336.90","1,336.90","1,336.90",0.00K,0.04%,0.81730179831407
198,595,"Sep 29, 2017","1,333.20","1,333.20","1,333.20","1,333.20",0.01K,-0.28%,0.5809156779986653
199,594,"Oct 02, 2017","1,324.70","1,324.70","1,324.70","1,324.70",0.14K,-0.64%,0.6172894393488988
200,593,"Oct 03, 2017","1,323.40","1,323.40","1,323.40","1,323.40",0.07K,-0.10%,0.7992902339485781
201,592,"Oct 04, 2017","1,325.60","1,325.60","1,325.60","1,325.60",0.22K,0.17%,0.9178922657214844
202,591,"Oct 05, 2017","1,322.60","1,322.60","1,322.60","1,322.60",0.03K,-0.23%,1.4183597687462797
203,590,"Oct 06, 2017","1,324.30","1,324.30","1,324.30","1,324.30",0.05K,0.13%,1.5612518739048655
204,589,"Oct 09, 2017","1,334.70","1,334.70","1,334.70","1,334.70",0.02K,0.79%,0.9008872691286319
205,588,"Oct 10, 2017","1,343.70","1,342.40","1,342.40","1,342.20",0.00K,0.67%,0.5699086432638294
206,587,"Oct 11, 2017","1,338.80","1,338.80","1,338.80","1,338.80",0.02K,-0.36%,0.677469833906204
207,586,"Oct 12, 2017","1,346.60","1,346.40","1,346.40","1,346.20",0.00K,0.58%,0.7390005802463615
208,585,"Oct 13, 2017","1,354.70","1,354.70","1,354.70","1,354.70",0.18K,0.60%,1.2890663065057686
209,584,"Oct 16, 2017","1,353.90","1,353.90","1,353.90","1,353.90",0.07K,-0.06%,1.430246342551816
210,583,"Oct 17, 2017","1,336.70","1,336.70","1,336.70","1,336.70",0.00K,-1.27%,0.4104785994106108
211,582,"Oct 18, 2017","1,333.50","1,333.50","1,333.50","1,333.50",0.16K,-0.24%,0.4688477965043466
212,581,"Oct 19, 2017","1,340.10","1,340.10","1,340.10","1,340.10",0.00K,0.49%,0.9521956518863758
213,580,"Oct 20, 2017","1,330.40","1,330.40","1,330.40","1,330.40",0.30K,-0.72%,0.3856942757266285
214,579,"Oct 23, 2017","1,331.10","1,327.80","1,332.30","1,327.80",0.03K,0.05%,0.5156938562611495
215,578,"Oct 24, 2017","1,328.40","1,328.40","1,328.40","1,328.40",0.11K,-0.20%,0.3712711310522174
216,577,"Oct 25, 2017","1,329.70","1,329.70","1,329.70","1,329.70",0.11K,0.10%,0.44115242163082313
217,576,"Oct 26, 2017","1,320.30","1,319.50","1,319.80","1,317.30",0.01K,-0.71%,0.379047893712339
218,575,"Oct 27, 2017","1,322.00","1,318.90","1,320.10","1,318.90",0.00K,0.13%,0.4226540104296228
219,574,"Oct 30, 2017","1,327.80","1,327.80","1,327.80","1,327.80",0.22K,0.44%,0.3356391225530607
220,573,"Oct 31, 2017","1,320.60","1,320.60","1,320.60","1,320.60",0.24K,-0.54%,0.6310061080115077
221,572,"Nov 01, 2017","1,327.50","1,327.50","1,327.50","1,327.50",0.05K,0.52%,0.47753920887470014
222,571,"Nov 02, 2017","1,328.30","1,328.30","1,328.30","1,328.30",0.07K,0.06%,0.4592688674316137
223,570,"Nov 03, 2017","1,319.80","1,319.80","1,319.80","1,319.80",0.02K,-0.64%,0.9192757016580212
224,569,"Nov 06, 2017","1,332.40","1,332.40","1,332.40","1,332.40",0.00K,0.95%,0.32760116051237465
225,568,"Nov 07, 2017","1,326.50","1,326.50","1,326.50","1,326.50",0.00K,-0.44%,0.5611529136591692
226,567,"Nov 08, 2017","1,334.90","1,334.90","1,334.90","1,334.90",0.02K,0.63%,0.30649895191368925
227,566,"Nov 09, 2017","1,339.40","1,339.40","1,339.40","1,339.40",0.03K,0.34%,0.6048142292234209
228,565,"Nov 10, 2017","1,327.10","1,329.60","1,329.60","1,329.60",0.05K,-0.92%,0.7433023798967137
229,564,"Nov 13, 2017","1,332.50","1,332.50","1,332.50","1,332.50",0.00K,0.41%,0.5334593017798324
230,563,"Nov 14, 2017","1,336.30","1,335.70","1,335.70","1,335.70",0.02K,0.29%,0.5713309317794084
231,562,"Nov 15, 2017","1,330.80","1,330.80","1,330.80","1,330.80",0.01K,-0.41%,1.3336699136237269
232,561,"Nov 16, 2017","1,331.50","1,331.50","1,331.50","1,331.50",0.04K,0.05%,1.368033110373757
233,560,"Nov 17, 2017","1,350.10","1,350.10","1,350.10","1,350.10",0.00K,1.40%,1.7923578503419204
234,559,"Nov 20, 2017","1,329.40","1,343.90","1,345.30","1,334.40",0.01K,-1.53%,1.4954133016618831
235,558,"Nov 21, 2017","1,336.50","1,336.50","1,336.50","1,336.50",0.02K,0.53%,1.41333968907549
236,557,"Nov 22, 2017","1,347.10","1,336.50","1,348.60","1,336.50",0.24K,0.79%,1.6772494115262782
