,order,Date,Price,Open,High,Low,Change %,volatility
174,608,"Sep 01, 2017",110.27,109.97,110.42,109.56,0.27%,1.2571030838139174
175,607,"Sep 04, 2017",109.74,109.4,109.94,109.31,-0.48%,0.8910317761684677
176,606,"Sep 05, 2017",108.81,109.73,109.84,108.64,-0.85%,0.8680850943870206
177,605,"Sep 06, 2017",109.23,108.81,109.41,108.45,0.39%,0.8489287035990357
178,604,"Sep 07, 2017",108.45,109.23,109.28,108.06,-0.71%,1.4476381769053106
179,603,"Sep 08, 2017",107.84,108.45,108.5,107.33,-0.56%,2.311307963433714
180,602,"Sep 11, 2017",109.41,108.2,109.52,108.14,1.46%,1.286000408508693
181,601,"Sep 12, 2017",110.17,109.42,110.27,109.25,0.69%,1.0135205511475887
182,600,"Sep 13, 2017",110.48,110.19,110.7,109.92,0.28%,1.0599928381048478
183,599,"Sep 14, 2017",110.23,110.48,111.03,110.08,-0.23%,1.3740107732464146
184,598,"Sep 15, 2017",110.84,110.22,111.33,109.55,0.55%,0.9492060095041982
185,597,"Sep 18, 2017",111.57,110.88,111.67,110.88,0.66%,0.4622923513465086
186,596,"Sep 19, 2017",111.59,111.56,111.89,111.19,0.02%,0.6143796913516937
187,595,"Sep 20, 2017",112.22,111.58,112.53,111.11,0.56%,0.29106023138617804
188,594,"Sep 21, 2017",112.47,112.21,112.72,112.13,0.22%,0.33474484385123454
189,593,"Sep 22, 2017",111.98,112.47,112.56,111.66,-0.44%,0.4604884116575684
190,592,"Sep 25, 2017",111.73,111.98,112.53,111.47,-0.22%,0.7386835249167385
191,591,"Sep 26, 2017",112.23,111.73,112.48,111.5,0.45%,0.3982802573042282
192,590,"Sep 27, 2017",112.83,112.25,113.27,112.21,0.53%,0.20285319241499525
193,589,"Sep 28, 2017",112.34,112.86,113.2,112.25,-0.43%,0.33072920751067364
194,588,"Sep 29, 2017",112.49,112.35,112.74,112.21,0.13%,0.22456653575047145
195,587,"Oct 02, 2017",112.77,112.56,113.06,112.44,0.25%,0.12554118828843794
196,586,"Oct 03, 2017",112.86,112.75,113.2,112.64,0.08%,0.21071899433521016
197,585,"Oct 04, 2017",112.75,112.86,112.94,112.33,-0.10%,0.21116418529996375
198,584,"Oct 05, 2017",112.82,112.75,112.92,112.41,0.06%,0.4113193492854286
199,583,"Oct 06, 2017",112.64,112.81,113.44,112.61,-0.16%,0.33506394407939444
200,582,"Oct 09, 2017",112.67,112.69,112.75,112.32,0.03%,0.38786081359457886
201,581,"Oct 10, 2017",112.45,112.67,112.83,112.0,-0.20%,0.29102833565057523
202,580,"Oct 11, 2017",112.5,112.45,112.59,112.08,0.04%,0.3079567985460344
203,579,"Oct 12, 2017",112.28,112.5,112.53,112.12,-0.20%,0.5034792401382754
204,578,"Oct 13, 2017",111.86,112.28,112.33,111.69,-0.37%,0.901541372106468
205,577,"Oct 16, 2017",112.19,111.85,112.29,111.65,0.30%,0.8880089863127878
206,576,"Oct 17, 2017",112.2,112.19,112.48,112.03,0.01%,1.0241302686950515
207,575,"Oct 18, 2017",112.94,112.2,113.06,112.14,0.66%,0.6168820063166437
208,574,"Oct 19, 2017",112.55,112.94,113.16,112.31,-0.35%,0.9698141267953606
209,573,"Oct 20, 2017",113.52,112.53,113.58,112.52,0.86%,0.24761698242387614
210,572,"Oct 23, 2017",113.44,113.69,114.11,113.25,-0.07%,0.2912840416618157
211,571,"Oct 24, 2017",113.9,113.43,114.01,113.25,0.41%,0.28110493558537514
212,570,"Oct 25, 2017",113.75,113.92,114.25,113.48,-0.13%,0.2728311469587141
213,569,"Oct 26, 2017",113.98,113.75,114.08,113.34,0.20%,0.31142725652393377
214,568,"Oct 27, 2017",113.69,113.98,114.45,113.64,-0.25%,0.29644190142592974
215,567,"Oct 30, 2017",113.19,113.73,113.84,113.03,-0.44%,0.6435226980785852
216,566,"Oct 31, 2017",113.64,113.17,113.73,112.97,0.40%,0.3124652435600786
217,565,"Nov 01, 2017",114.17,113.64,114.3,113.61,0.47%,0.30196780498251347
218,564,"Nov 02, 2017",114.09,114.17,114.22,113.53,-0.07%,0.3141460106545827
219,563,"Nov 03, 2017",114.08,114.08,114.44,113.66,-0.01%,0.3433871517775166
220,562,"Nov 06, 2017",113.7,114.0,114.74,113.7,-0.33%,0.1776206976772202
221,561,"Nov 07, 2017",114.02,113.7,114.34,113.69,0.28%,0.5078070546817091
222,560,"Nov 08, 2017",113.88,114.0,114.05,113.39,-0.12%,0.49401416153969485
223,559,"Nov 09, 2017",113.47,113.86,114.08,113.09,-0.36%,0.5240104872606779
224,558,"Nov 10, 2017",113.53,113.47,113.64,113.2,0.05%,0.630662223173004
225,557,"Nov 13, 2017",113.62,113.52,113.72,113.25,0.08%,0.7910026485890075
226,556,"Nov 14, 2017",113.45,113.62,113.92,113.31,-0.15%,1.001451184521917
227,555,"Nov 15, 2017",112.88,113.47,113.5,112.47,-0.50%,0.850038706026215
228,554,"Nov 16, 2017",113.06,112.88,113.34,112.73,0.16%,1.08788710092066
229,553,"Nov 17, 2017",112.08,113.05,113.16,111.94,-0.87%,0.599601322668666
230,552,"Nov 20, 2017",112.62,112.08,112.72,111.88,0.48%,0.9920567283468353
231,551,"Nov 21, 2017",112.44,112.62,112.72,112.17,-0.16%,0.8748304417470711
232,550,"Nov 22, 2017",111.22,112.45,112.5,111.14,-1.09%,0.5279596567489032
233,549,"Nov 23, 2017",111.22,111.21,111.38,111.06,0.00%,0.6084564900853888
234,548,"Nov 24, 2017",111.55,111.22,111.64,111.19,0.30%,0.5240151414708605
235,547,"Nov 27, 2017",111.09,111.41,111.69,110.83,-0.41%,0.9617577811944878
236,546,"Nov 28, 2017",111.48,111.09,111.64,110.94,0.35%,0.7184179758270408
237,545,"Nov 29, 2017",111.93,111.48,112.15,111.37,0.40%,0.5368464163328589
238,544,"Nov 30, 2017",112.53,111.92,112.64,111.72,0.54%,0.40445169725086705
239,543,"Dec 01, 2017",112.11,112.53,112.88,111.42,-0.37%,0.7748949354167358
240,542,"Dec 04, 2017",112.42,112.41,113.09,112.36,0.28%,0.6872956332354329
241,541,"Dec 05, 2017",112.59,112.41,112.88,112.38,0.15%,0.5795467012927906
242,540,"Dec 06, 2017",112.3,112.59,112.67,112.0,-0.26%,0.7690753023681696
243,539,"Dec 07, 2017",113.08,112.28,113.16,112.2,0.69%,0.4252014112070163
244,538,"Dec 08, 2017",113.48,113.08,113.58,113.06,0.35%,0.644052099645747
245,537,"Dec 11, 2017",113.56,113.48,113.69,113.24,0.07%,0.7306031288970731
246,536,"Dec 12, 2017",113.55,113.58,113.75,113.38,-0.01%,0.7252796227273521
247,535,"Dec 13, 2017",112.55,113.56,113.58,112.47,-0.88%,0.40522952600719075
248,534,"Dec 14, 2017",112.39,112.53,112.88,112.06,-0.14%,0.5795349048800007
249,533,"Dec 15, 2017",112.58,112.39,112.75,112.03,0.17%,0.5071296546503103
250,532,"Dec 18, 2017",112.55,112.64,112.85,112.32,-0.03%,0.5761329923361451
251,531,"Dec 19, 2017",112.89,112.54,113.08,112.51,0.30%,0.3473943050957134
252,530,"Dec 20, 2017",113.39,112.89,113.47,112.84,0.44%,0.18457050477516854
253,529,"Dec 21, 2017",113.33,113.41,113.64,113.2,-0.05%,0.2626467143057829
