order,Date,Price,Open,High,Low,Vol.,Change %
673,"Jun 14, 2017","1,325.30","1,322.50","1,322.50","1,322.50",0.01K,0.53%
672,"Jun 15, 2017","1,303.90","1,303.90","1,303.90","1,303.90",0.74K,-1.61%
671,"Jun 16, 2017","1,305.80","1,305.80","1,305.80","1,305.80",0.03K,0.15%
670,"Jun 19, 2017","1,296.10","1,295.00","1,297.90","1,295.00",0.01K,-0.74%
669,"Jun 20, 2017","1,292.50","1,297.60","1,297.60","1,297.60",0.00K,-0.28%
668,"Jun 21, 2017","1,294.60","1,294.60","1,294.60","1,294.60",0.00K,0.16%
667,"Jun 22, 2017","1,298.10","1,298.10","1,298.10","1,298.10",0.16K,0.27%
666,"Jun 23, 2017","1,305.40","1,305.40","1,305.40","1,305.40",0.27K,0.56%
665,"Jun 26, 2017","1,295.40","1,295.40","1,295.40","1,295.40",0.19K,-0.77%
664,"Jun 27, 2017","1,296.10","1,296.10","1,296.10","1,296.10",0.11K,0.05%
663,"Jun 28, 2017","1,298.50","1,298.50","1,298.50","1,298.50",0.01K,0.19%
662,"Jun 29, 2017","1,295.40","1,295.40","1,295.40","1,295.40",0.54K,-0.24%
661,"Jun 30, 2017","1,291.70","1,291.70","1,291.70","1,291.70",0.04K,-0.29%
660,"Jul 03, 2017","1,268.60","1,287.20","1,287.60","1,271.00",0.02K,-1.79%
659,"Jul 04, 2017","1,227.55","1,224.30","1,228.03","1,221.49",-,-3.24%
658,"Jul 05, 2017","1,271.60","1,276.50","1,276.50","1,271.20",0.02K,3.59%
657,"Jul 06, 2017","1,274.40","1,274.40","1,274.40","1,274.40",0.01K,0.22%
656,"Jul 07, 2017","1,260.10","1,270.30","1,270.30","1,268.90",0.00K,-1.12%
655,"Jul 10, 2017","1,263.70","1,263.70","1,263.70","1,263.70",0.03K,0.29%
654,"Jul 11, 2017","1,265.40","1,265.40","1,265.40","1,265.40",0.01K,0.13%
653,"Jul 12, 2017","1,268.90","1,268.90","1,268.90","1,268.90",0.01K,0.28%
652,"Jul 13, 2017","1,266.20","1,268.40","1,268.40","1,268.40",0.00K,-0.21%
651,"Jul 14, 2017","1,276.50","1,264.00","1,280.40","1,264.00",0.01K,0.81%
650,"Jul 17, 2017","1,283.10","1,283.10","1,283.10","1,283.10",0.01K,0.52%
649,"Jul 18, 2017","1,291.20","1,291.20","1,291.20","1,291.20",0.03K,0.63%
648,"Jul 19, 2017","1,291.40","1,291.40","1,291.40","1,291.40",0.00K,0.02%
647,"Jul 20, 2017","1,294.80","1,294.80","1,294.80","1,294.80",0.01K,0.26%
646,"Jul 21, 2017","1,303.60","1,303.80","1,303.80","1,303.80",0.00K,0.68%
645,"Jul 24, 2017","1,303.10","1,301.50","1,301.50","1,301.00",0.00K,-0.04%
644,"Jul 25, 2017","1,300.90","1,300.90","1,300.90","1,300.90",0.02K,-0.17%
643,"Jul 26, 2017","1,298.90","1,298.90","1,298.90","1,298.90",0.00K,-0.15%
642,"Jul 27, 2017","1,310.20","1,313.70","1,313.70","1,313.70",0.05K,0.87%
641,"Jul 28, 2017","1,319.10","1,319.10","1,319.10","1,319.10",64.18K,0.68%
640,"Jul 31, 2017","1,317.20","1,317.20","1,317.20","1,317.20",7.78K,-0.14%
639,"Aug 01, 2017","1,323.00","1,318.60","1,322.00","1,318.60",0.00K,0.44%
638,"Aug 02, 2017","1,322.20","1,318.60","1,318.60","1,318.60",0.00K,-0.06%
637,"Aug 03, 2017","1,318.30","1,318.30","1,318.30","1,318.30",0.88K,-0.29%
636,"Aug 04, 2017","1,308.40","1,308.40","1,308.40","1,308.40",0.52K,-0.75%
635,"Aug 07, 2017","1,308.70","1,306.00","1,306.00","1,306.00",0.00K,0.02%
634,"Aug 08, 2017","1,307.10","1,317.40","1,317.40","1,305.20",0.00K,-0.12%
633,"Aug 09, 2017","1,323.70","1,323.70","1,323.70","1,323.70",0.57K,1.27%
632,"Aug 10, 2017","1,334.50","1,335.00","1,335.00","1,332.40",0.02K,0.82%
631,"Aug 11, 2017","1,338.10","1,338.10","1,338.10","1,338.10",0.14K,0.27%
630,"Aug 14, 2017","1,334.80","1,334.80","1,334.80","1,334.80",0.34K,-0.25%
629,"Aug 15, 2017","1,324.20","1,323.40","1,323.40","1,321.50",0.01K,-0.79%
628,"Aug 16, 2017","1,327.50","1,318.50","1,318.50","1,318.50",0.00K,0.25%
627,"Aug 17, 2017","1,336.80","1,336.20","1,336.20","1,336.20",0.00K,0.70%
626,"Aug 18, 2017","1,335.70","1,335.70","1,335.70","1,335.70",0.00K,-0.08%
625,"Aug 21, 2017","1,341.00","1,341.00","1,341.00","1,341.00",0.02K,0.40%
