order,Date,Price,Open,High,Low,Change %
416,"May 29, 2018",108.77,109.42,109.47,108.11,-0.59%
415,"May 30, 2018",108.91,108.75,109.08,108.33,0.13%
414,"May 31, 2018",108.82,108.9,109.01,108.38,-0.08%
413,"Jun 01, 2018",109.55,108.81,109.75,108.72,0.67%
412,"Jun 04, 2018",109.81,109.5,109.86,109.38,0.24%
411,"Jun 05, 2018",109.8,109.83,110.02,109.47,-0.01%
410,"Jun 06, 2018",110.17,109.8,110.28,109.78,0.34%
409,"Jun 07, 2018",109.7,110.19,110.22,109.48,-0.43%
408,"Jun 08, 2018",109.55,109.71,109.87,109.19,-0.14%
407,"Jun 11, 2018",110.03,109.47,110.12,109.22,0.44%
406,"Jun 12, 2018",110.38,110.03,110.5,109.98,0.32%
405,"Jun 13, 2018",110.34,110.38,110.86,110.26,-0.04%
404,"Jun 14, 2018",110.63,110.33,110.7,109.9,0.26%
403,"Jun 15, 2018",110.67,110.62,110.92,110.39,0.04%
402,"Jun 18, 2018",110.55,110.67,110.75,110.3,-0.11%
401,"Jun 19, 2018",110.06,110.56,110.58,109.55,-0.44%
400,"Jun 20, 2018",110.36,110.06,110.45,109.85,0.27%
399,"Jun 21, 2018",110,110.36,110.77,109.83,-0.33%
398,"Jun 22, 2018",109.97,109.98,110.22,109.79,-0.03%
397,"Jun 25, 2018",109.78,109.92,110.03,109.36,-0.17%
396,"Jun 26, 2018",110.06,109.75,110.22,109.36,0.26%
395,"Jun 27, 2018",110.26,110.06,110.49,109.68,0.18%
394,"Jun 28, 2018",110.5,110.25,110.66,109.97,0.22%
393,"Jun 29, 2018",110.68,110.49,110.95,110.39,0.16%
392,"Jul 02, 2018",110.89,110.67,111.06,110.48,0.19%
391,"Jul 03, 2018",110.59,110.91,111.14,110.5,-0.27%
390,"Jul 04, 2018",110.47,110.61,110.64,110.28,-0.11%
389,"Jul 05, 2018",110.62,110.47,110.72,110.3,0.14%
388,"Jul 06, 2018",110.46,110.62,110.79,110.36,-0.14%
387,"Jul 09, 2018",110.85,110.5,110.91,110.31,0.35%
386,"Jul 10, 2018",111,110.86,111.36,110.8,0.14%
385,"Jul 11, 2018",112.02,110.98,112.19,110.77,0.92%
384,"Jul 12, 2018",112.56,112.02,112.64,111.91,0.48%
383,"Jul 13, 2018",112.38,112.56,112.81,112.28,-0.16%
382,"Jul 16, 2018",112.3,112.36,112.56,112.19,-0.07%
381,"Jul 17, 2018",112.87,112.29,112.94,112.22,0.51%
380,"Jul 18, 2018",112.86,112.89,113.16,112.72,-0.01%
379,"Jul 19, 2018",112.47,112.86,113.17,112.06,-0.35%
378,"Jul 20, 2018",111.41,112.46,112.63,111.39,-0.94%
377,"Jul 23, 2018",111.34,111.5,111.56,110.75,-0.06%
376,"Jul 24, 2018",111.2,111.35,111.52,110.96,-0.13%
